Facility BIC Code,Facility Name,Operator Name,Facility Street,Facility City,Facility State,Facility Zip Code,Facility Country,Latitude,Longitude,Code Provider,UNLOCODE
NLRTMUEEC,C. STEINWEG HANDELSVEEM BV LOCATION BEATRIXTERM./BEATRIXHAVEN,C. STEINWEG HANDELSVEEM BV LOCATION BEATRIXTERM./BEATRIXHAVEN,Den Hamweg 55,Rotterdam,,3089 KK,Netherlands,51.8828292,4.4207487,BIC,NLRTM
NLRTMUWTB,United Waalhaven Terminals,United Waalhaven Terminals,Waalhaven W.z. 60,Rotterdam,,3089 KR,Netherlands,51.8798879,4.4338089,BIC,NLRTM
NLRTMUXOI,DR DEPOT BV,DR DEPOT BV,Malakkastraat 51,Rotterdam,,3199 LK,Netherlands,51.9372803,4.0131413,BIC,NLRTM
NLRTMWCMC,B&T Container Trading,B&T Container Trading,Bosland 8,Rotterdam,,3258 AC,Netherlands,51.7141805,4.2805934,BIC,NLRTM
NLRTMWCZO,KRAMER CONTAINER REPAIRS BV,KRAMER CONTAINER REPAIRS BV,Reeweg 25,Rotterdam,,3089 KM,Netherlands,51.878634,4.3929058,BIC,NLRTM
NLRTMWLAA,United Waalhaven Terminals B.V.,Waalhaven Terminal,Bunschotenweg 200,Rotterdam,,3089 KC,Netherlands,51.8910977,4.403818,BIC,NLRTM
NLRTMWLIA,STEINWEG,STEINWEG HANDELSVEEM C BV,Professor Gerbrandyweg 17,Rotterdam,,3197 KK,Netherlands,51.8957377,4.2871374,BIC,NLRTM
NLRTMWUKC,KC TRADING BV,KC TRADING BV,Van Maasdijkweg 55,Rotterdam,,3088 ED,Netherlands,51.8739739,4.4414346,BIC,NLRTM
NLRTMYLEI,HAPAG LLOYD DEPOT ROTTERDAM,HAPAG LLOYD DEPOT ROTTERDAM,Ophemertstraat 1,Rotterdam,,3089 JD,Netherlands,51.881504,4.4315513,BIC,NLRTM
NLRTMYNJL,Combi Terminal Twente Rotterdam,Combi Terminal Twente Rotterdam,Butaanweg 17,Rotterdam,,3196 KC,Netherlands,51.8930448,4.3747763,BIC,NLRTM
